
Index    Rcvd     Predict   Expect
922      1931     1931      1931
923      2103     2103      2103
924         0     2257      2167
925      2411     2411      2411
926      2059     2059      2059
927      1959     1959      1959
928      2183     2183      2183
929      2551     2551      2551
930      2611     2611      2611
931      1847     1847      1847
932      2131     2131      2131
933      2351     2351      2351
934      2303     2303      2303
935      2007     2007      2007
936      1991     1991      1991
937      2439     2439      2439
938      2499     2499      2499
939      2519     2519      2519
940      1867     1867      1867
941      1871     1871      1871
942      2339     2339      2339
943         0     2301      2375
944      2263     2263      2263
945         0     2286      2143
946         0     2309      1751
947         0     2332      2179
948      2355     2355      2355
949      2327     2327      2327
950      2311     2311      2311
951      2287     2287      2287
952      2355     2355      2355
953      2379     2379      2379
954      2291     2291      2291
955      2059     2059      2059
956      2067     2067      2067
957      2467     2467      2467
958         0     2479      2563
959         0     2491      2459
960         0     2502      2167
961         0     2513      2123
962         0     2524      2239
963      2535     2535      2535
964      2035     2035      2035
965      2027     2027      2027
966      2135     2135      2135
967      2291     2291      2291
968      2379     2379      2379
969      2167     2167      2167
970      2183     2183      2183
971      2383     2383      2383
972      2555     2555      2555
973      2331     2331      2331
974      2043     2043      2043
975      2183     2183      2183
976      2311     2311      2311
977      2331     2331      2331
978      1895     1895      1895
979      2195     2195      2195
980      2535     2535      2535
981      2667     2667      2667
982      2327     2327      2327
983      1963     1963      1963
984      2067     2067      2067
985      2039     2039      2039
986      2023     2023      2023
987         0     2137      2147
988      2251     2251      2251
989      2643     2643      2643
990      2603     2603      2603
991      1875     1875      1875
992      2099     2099      2099
993      2319     2319      2319
994      2139     2139      2139
995      2251     2251      2251
996      2715     2715      2715
997         0     2715      2383
998         0     2715      2211
999         0     2715      1995
Priority Packets Received 243.
non-Priority Packets Received 0.
Total packets received 243.
